key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
SITE_ABOUT_TITLE_1;So, what *is* MOTHER: Encore?;Alors, c’est *quoi*, MOTHER: Encore ?;Allora, *cosa* è MOTHER: Encore?;MOTHER：ENCOREとは？;MOTHER: Encore란?;Entonces, ¿qué *es* MOTHER: Encore?;Então, o que *é* MOTHER: Encore?;Czym zatem *jest* MOTHER: Encore?;Also, was *ist* MOTHER: Encore?;"Итак, *что такое* MOTHER: Encore? ";Так, чим *саме* є MOTHER: Encore?;
SITE_ABOUT_BODY_1;A re-imagining of MOTHER with all new content, tweaks and remastered visuals. The soundtrack features remakes from the original game along with brand new pieces! The battle system is also built from the ground up to give each battle a more polished experience. The story adds more depth to the characters you love. The maps have no dead-ends or pesky mazes, and the world is filled with countless little touches to really bring Eagleland to life.;Une réinterprétation de MOTHER avec du contenu entièrement nouveau, de nombreux ajustements et des graphismes intégralement refaits. La bande-son inclut des réarrangements des thèmes du jeu original ainsi que de toutes nouvelles compositions ! Le système de combat est revu de fond en comble pour offrir une expérience plus aboutie. L’histoire apporte plus de profondeur aux personnages que vous aimez. Oubliez les impasses et autres labyrinthes interminables qui ponctuaient votre exploration, le monde est désormais agréable à parcourir et plus vivant que jamais grâce aux innombrables petites touches que nous lui apportons.;Una rivisitazione di MOTHER con contenuti e modifiche tutti nuovi e una grafica rimasterizzata. La colonna sonora presenta sia rifacimenti dei brani originali che pezzi nuovi di zecca! Anche il sistema di battaglia è stato ricostruito da zero per donare a ogni scontro un’esperienza più raffinata. La storia aggiunge più profondità ai personaggi che ami, le mappe non hanno più vicoli ciechi o strutture labirintiche e innumerevoli altre piccole chicche danno nuova vita al mondo di gioco.;"* 初代MOTHERのリメイク
* まったく新しいコンテンツ、調整、リマスターされたドット絵
* サウンドトラックは、リメイク曲と新曲を備えている
* バトルシステムも一から作り直し、より洗練されたバトルが体験可能に！
* より濃厚なストーリーとさらに深みのあるキャラクター
* マップには行き止まりや迷路がなく、世界に命を吹き込むような細かな演出が随所に散りばめられている";"완전히 새로워진 MOTHER를 상상해 보세요.
* 새로운 콘텐츠와 리마스터 된 그래픽
* 원작의 분위기를 유지하면서도 세련된 사운드트랙
* 더 나은 경험을 위해 재구성된 배틀 시스템
* 막다른 골목이나 성가신 미로가 없는 살아 숨 쉬는 듯이 디테일한 맵
* 깊이를 더한 스토리";Una reimaginación de MOTHER con nuevo contenido, retoques y gráficos remasterizados. La banda sonora incluye canciones del juego original y piezas totalmente nuevas. El sistema de batalla también se ha creado desde cero para que cada combate sea una experiencia más pulida. La historia añade más profundidad a los personajes que amas. El mapa no tiene callejones sin salida ni laberintos molestos, y el mundo está lleno de innumerables pequeños detalles que le dan vida al mundo.;Uma reimaginação de MOTHER com conteúdo completamente novo, melhorias e visuais aprimorados. A trilha sonora inclui músicas refeitas do jogo original, além de faixas totalmente inéditas! O sistema de batalha também foi refeito do zero para dar mais fluidez à jogabilidade. A história se aprofunda mais nos personagens que você ama, os mapas não têm mais becos sem saída ou labirintos chatos, e o mundo é cheio de pequenos detalhes que dão vida à América.;Odświeżona wersja gry MOTHER z zupełnie nową zawartością, poprawkami i zremasterowaną oprawą wizualną. Ścieżka dźwiękowa zawiera rearanżacje z oryginalnej gry oraz zupełnie nowe utwory! System walki również został zbudowany od podstaw, aby każda bitwa była bardziej dopracowana. Opowieść dodaje więcej głębi postaciom, które kochasz. Mapy nie mają ślepych zaułków ani irytujących labiryntów, a świat pełen jest niezliczonych drobiazgów, które naprawdę ożywiają Amerykę.;Eine Neuinterpretation von MOTHER mit völlig neuen Inhalten, Optimierungen und überarbeiteter Grafik. Der Soundtrack enthält Remakes aus dem Originalspiel sowie brandneue Stücke! Das Kampfsystem wurde ebenfalls von Grund auf neu gestaltet, um jeden Kampf zu einem ausgefeilten Erlebnis zu machen. Die Geschichte verleiht den Charakteren die du liebst, mehr Tiefe. Die Karten haben keine Sackgassen oder lästige Labyrinthe, und die Welt ist mit unzähligen kleinen Details ausgestattet, die Amerika wirklich zum Leben erwecken.;Это переосмысление видеоигры MOTHER с новым контентом, улучшениями и обновлённой графикой. Саундтрек, помимо ремиксов музыки из оригинальной игры, включает в себя ещё и несколько новых треков! Боевая система была создана с нуля, дабы каждая битва была ещё более проработанной и интересной, а сюжет теперь придаёт больше глубины вашим любимым персонажам. На картах нет тупиков или надоедающих лабиринтов, а мир наполнен бесчисленными деталями, которые по-настоящему оживят Америку!;Це — переосмислення відеогри MOTHER з новим змістом, покращеннями та оновленою графікою. Саундтрек, окрім реміксів треків з оригінальної гри, має зовсім нову музику! Система боїв перероблена з нуля, щоб кожна битва була цікавішою, а сюжет додає нової глибини улюбленим персонажам. На мапах немає глухих кутів чи набридливих лабіринтів, а світ заповнений нескінченними малими штрихами, що справді оживляють Америку!;
SITE_ABOUT_TITLE_2;Discover an Familiar World;;;;;;;;;;;
SITE_ABOUT_BODY_2;"Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About The World Insert Text About ";;;;;;;;;;;
SITE_ABOUT_TITLE_3;Turn Based Combat;;;;;;;;;;;
SITE_ABOUT_BODY_3;Battles in Mother Encore reimagine the fights from Mother 1 with a style similar to Mother 3. However instead of rhythm mechanics, Mother Encore introduces a new way to fight with Encores. Encores allow the player to attack twice, which allows for more dynamic battles instead of the average pace of turn based combat.;;;;;;;;;;;
SITE_ABOUT_TITLE_4;Enchanced Visuals;;;;;;;;;;;
SITE_ABOUT_BODY_4;Hand-crafted 2D characters, scenarios and psychedelic battle backgrounds with the charm of pixel art.;;;;;;;;;;;
SITE_ABOUT_TITLE_5;Music;;;;;;;;;;;
SITE_ABOUT_BODY_5;Music has always been an important aspect to the MOTHER series, and that hasn’t changed here in the slightest. Each song from the original game is given a brand new arrangement to really suit the goal of reimagining the game, but there are some new pieces too. Travel around with rocking tunes such as The Paradise Line and Roving Tank, and fight against various foes of retro, unsettling, or even alien natures.Be sure to check out Owen (@McThrillington) and Copper (@copperthejackal).(Owen is currently accepting music commissions)(Check out CopperTheJackal’s game, Hypersomnia);;;;;;;;;;;
SITE_ABOUT_TITLE_6;Open Source;;;;;;;;;;;
SITE_ABOUT_BODY_6;The game started development in RPG MAKER VX ACE. This engine allowed for easy development at first but once became troublesome when trying to execute our more ambitious plans. The game was then rebuilt in Godot and within a few months has already far exceeded the original RPG MAKER version. This change to Godot and leaving the code open source also leaves the game open to community-made ports to other systems. Many advanced effects that were impossible to do originally now shine on Godot.;;;;;;;;;;;
SITE_ABOUT_OPEN_SOURCE_FOOTNOTE;Did we mention the game is open source? Players will be able to easily create mods and translations. You can also use the code for your own fangames! (Just credit us though.);;;;;;;;;;;
SITE_ABOUT_BODY_2_OLD;Originally beginning as the “MOTHER 30th Anniversary edition”, The scope of the project expanded to the point of becoming no longer a straight remake, but instead becoming a reimagining that intends to redesign the game for returning and new players alike!;Initié sous le nom de « MOTHER 30th Anniversary Edition », le projet a pris de l’ampleur au point de ne plus être un simple remake, mais plutôt une réinterprétation complète du jeu à l’attention des anciens joueurs et des nouveaux venus !;Originariamente nato come “MOTHER: Edizione per il 30º anniversario”, poi la portata del progetto si è ampliata ben oltre il semplice remake, fino a diventare una rivisitazione con lo scopo di riprogettare il gioco sia per i veterani che per i nuovi giocatori!;当初は「MOTHER30周年記念エディション」として開発されましたが、後にリマスター以上の、新旧のプレイヤーが共に楽しんでもらえるようなリメイクとして進化を果たしました！;《MOTHER 30th Anniversary Edition》로 시작된 이 프로젝트는 리마스터를 넘어 많은 유저들에게 새로운 경험을 줄 수 있는 리메이크로 확장됐습니다.;El proyecto, que originalmente comenzó como “MOTHER 30th Anniversary Edition” se amplió hasta el punto de dejar de ser un simple remake para convertirse en una reimaginación que pretende rediseñar el juego tanto para los jugadores veteranos como los venideros.;Iniciado originalmente como “MOTHER Edição de 30º Aniversário”, a premissa do projeto expandiu tanto que deixou de ser um remake direto e tornou-se uma reimaginação que busca recriar o jogo tanto para jogadores novos quanto para os veteranos!;Pierwotnie opracowywana jako „MOTHER 30th Anniversary Edition”, zakres projektu rozszerzył się do tego stopnia, że nie jest już prostym remakiem, ale zamiast tego staje się nowym wyobrażeniem, które zamierza przeprojektować grę zarówno dla weteranów, jak i nowych graczy!;"Ursprünglich als ""MOTHER 30th Anniversary Edition"" gestartet, hat sich der Umfang des Projekts so weit ausgeweitet, dass es sich nicht mehr um ein reines Remake handelt, sondern um eine Neuinterpretation, die das Spiel sowohl für alte als auch für neue Spieler neu gestalten soll!";Изначально проект создавался как MOTHER 30th Anniversary edition, но его рамки расширились настолько, что он из простого ремейка превратился в переосмысление, цель которого — привлечь внимание как ветеранов, так и новых игроков!;"Спочатку проект створювався як ""MOTHER 30th Anniversary edition"", але його рамки розширилися настільки, що він із простого рімейку перетворився на переосмислення, мета якого — привернути увагу як ветеранів, так і нових гравців!";
SITE_ABOUT_BODY_3_OLD;The game started development in RPG MAKER VX ACE. This engine allowed for easy development at first but once became troublesome when trying to execute our more ambitious plans. The game was then rebuilt in Godot and within a few months has already far exceeded the original RPG MAKER version. This change to Godot and leaving the code open source also leaves the game open to community-made ports to other systems. Many advanced effects that were impossible to do originally now shine on Godot.;Le développement du jeu a commencé sous RPG MAKER VX ACE. Ce moteur est simple d’utilisation, mais il a fini par s’avérer trop limité pour nous permettre de concrétiser nos plans amitieux. Le jeu a ensuite été refait sous Godot, et en l’espace de quelques mois, il surpassait déjà de loin la version originale sous RPG MAKER. C’est grâce à ce passage à Godot et à notre choix de publier le code source que les membres de la communauté pourront librement porter le jeu vers d’autres systèmes. Enfin, de nombreux effets visuels avancés qui étaient impossibles à réaliser au départ peuvent désormais s’exprimer pleinement sous Godot.;Lo sviluppo del gioco cominciò su RPG MAKER VX ACE. All’inizio questo motore consentì uno sviluppo semplice, ma iniziò a complicarsi quando i nostri piani si fecero più ambiziosi. Il gioco è stato quindi ricostruito in Godot e nel giro di pochi mesi aveva già superato di gran lunga la versione originale su RPG MAKER. Il passaggio a Godot e la scelta di lasciare il codice open source è utile anche per permettere alla community di portare il titolo su altre piattaforme. Molti effetti avanzati che erano impossibili da realizzare all’inizio, adesso splendono su Godot.;このゲームはRPG MAKER VX ACEで開発がスタートされました。このエンジンは、当初は開発しやすいものでありましたが、より大きな要素を実行しようとすると、開発が困難になりました。その後、このゲームはGodotで再構築され、数ヶ月のうちにオリジナルのRPG MAKER版をはるかに超えるものに進化しました。このGodotへの変更とコードのオープンソース化により、このゲームはコミュニティによる他システムへの移植にも可能になりました。元々不可能だった多くの高度なエフェクトが、Godot上で実現できました。;프로젝트 초기에는 RPG MAKER VX ACE로 개발되었습니다. 개발하기 쉽다는 장점이 있었지만 꿈을 이루기에는 부족했고 Godot으로 엔진을 변경했습니다. 그리고 단 몇 달 만에 기존 RPG MAKER 버전을 뛰어넘는 결과를 얻게 되며, 기존에는 불가능했던 것들도 Godot에서는 전부 가능해졌습니다. 또한 오픈 소스화 되면서 다른 시스템에 이식도 가능해졌습니다.;El juego empezó su desarrollo en RPG MAKER VX ACE. Este motor permitió un desarrollo fácil al principio, pero se le empezaban a ver las costuras cuando intentamos ejecutar nuestros planes más ambiciosos. Fue ahí cuando se decidió reconstruir el juego en Godot y en pocos meses ha superado con creces a la versión original de RPG MAKER. Este cambio a Godot y dejar el código abierto también deja el juego abierto a ports a otros sistemas hechos por la comunidad. Muchos efectos avanzados que eran considerados imposibles de hacer ahora son posibles con Godot.;O jogo começou seu desenvolvimento no RPG Maker VX Ace. Esta ferramenta permitiu uma facilidade no desenvolvimento no início, mas se tornou problemática ao tentar executar nossos planos mais ambiciosos. O jogo então foi refeito em Godot e, em poucos meses, ultrapassou a qualidade da versão inicial de RPG Maker. A mudança para Godot e a decisão de deixar o código aberto permitirá que ports sejam criados pela comunidade para diferentes sistemas. Muitos efeitos avançados que antes eram impossíveis agora brilham no Godot.;Prace nad grą rozpoczęły się w RPG MAKER VX ACE. Silnik ten pozwolił na łatwy rozwój na początku, ale stał się kłopotliwy, gdy próbowaliśmy zrealizować nasze bardziej ambitne plany. Gra została następnie przebudowana na silniku Godot i w ciągu kilku miesięcy znacznie przewyższyła oryginalną wersję z RPG MAKER-a. Zmiana silnika i pozostawienie otwartego kodu źródłowego pozostawia również grę otwartą na porty tworzone przez społeczność na inne systemy. Wiele zaawansowanych efektów, które pierwotnie były niemożliwe do wykonania, teraz błyszczą dzięki Godot.;Die Entwicklung des Spiels begann im RPG MAKER VX ACE. Diese Engine ermöglichte anfangs eine einfache Entwicklung, wurde aber irgendwann problematisch, als wir versuchten, unsere ehrgeizigeren Pläne umzusetzen. Das Spiel wurde dann in Godot neu aufgebaut und hat innerhalb weniger Monate die ursprüngliche RPG MAKER-Version bereits weit übertroffen. Der Wechsel zu Godot und die Offenlegung des Quellcodes lassen das Spiel auch offen für Portierungen durch die Community auf andere Systeme. Viele fortgeschrittene Effekte, die ursprünglich nicht möglich waren, glänzen jetzt auf Godot.;Разработка игры началась на движке RPG MAKER VX ACE. Он очень прост в использовании, однако чем амбициознее становились наши цели, тем больше он начинал нас сковывать. Позже игра была воссоздана на Godot и всего спустя несколько месяцев превзошла изначальную версию, созданную на RPG MAKER. Переход на Godot и решение сделать исходный код открытым также позволяют остальным членам сообщества портировать игру на другие системы. А многие сложные визуальные эффекты, которые изначально было невозможно сделать на старом движке, теперь красуются в игре благодаря Godot.;Розробка гри розпочалася у RPG MAKER VX ACE. Спочатку цей ігровий движок відчутно полегшував розробку, але став проблематичним тоді, коли ми намагалися виконати наші більш амбіціозні плани. Гра потім була перероблена на Godot і перевершила оригінальну версію на RPG MAKER лише через декілька місяців. Перехід на Godot і відкриття вихідного коду дозволили створення купи фанатських портів на інші системи. Багато продвинутих візуальних ефектів, які раніше були неможливі, тепер блищать саме завдяки Godot.;
SITE_ABOUT_BODY_4_OLD;*Did we mention the game will be open source?* Players will be able to easily create mods and translations. You can also use the code for your own fangames! (Just credit us though.);*On vous a dit que le jeu serait open source ?* Les joueurs pourront facilement créer des mods et des traductions. Vous pourrez aussi réutiliser notre code pour vos propres fangames ! (Pensez simplement à nous créditer.);*Abbiamo detto che il gioco sarà open source?* I giocatori potranno creare facilmente mod e traduzioni. Potrai anche riutilizzare il codice per i tuoi giochi amatoriali! (Basta che ci citi);※このゲームはオープンソースですので、あなた自身のファンゲームにコードを使用することもできます！（ただ、私たちをクレジットに入れてください。）;※이 게임은 오픈 소스이므로, 당신의 팬 게임에 해당 작품의 코드를 사용할 수 있습니다! (저희를 크레딧에 넣어만 주세요.);*¿Hemos mencionado que el juego será de código abierto?* Los jugadores podrán crear mods y traducciones fácilmente. También podrás usar el código para tus propios fangames (tan solo danos crédito).;*Já mencionamos que o código do jogo é aberto?* Jogadores poderão criar mods e traduções para o jogo facilmente. Você também poderá usar o código para seus próprios jogos! (Só não se esqueça de dar créditos a nós.);*Czy wspominaliśmy już, że gra będzie open source?* Gracze będą mogli łatwo tworzyć mody i tłumaczenia. Można także użyć kodu do własnych gier fanowskich! (Wystarczy tylko o nas dać znać.);*Haben wir schon erwähnt, dass das Spiel Open Source sein wird?* Die Spieler können ganz einfach Mods und Übersetzungen erstellen. Sie können den Code auch für eigene Fangames verwenden! (Nennt uns aber als Quelle.);*Мы уже говорили, что игра будет с открытым исходным кодом?* Игроки с лёгкостью смогут создавать свои модификации и переводы. Также вы сможете использовать код для собственных фан-игр! (Только не забудьте указать нас.);*Чи ми вже згадували, що гра матиме вікдритий код?* Гравці зможуть з легкістю створювати моди і переклади. Також, ви можете скористатися кодом для створення власних фан-ігор! (Лише не забудьте згадати про нас.);
SITE_ABOUT_REQ_OS;OS;Système d’exploitation;SISTEMA OPERATIVO;対応OS;운영체제;SO;SO;System operacyjny;System;Операционная система;ОПЕРАЦІЙНА СИСТЕМА;
SITE_ABOUT_REQ_OS_DETAILS;Windows 7 and upwards, macOS 10.12 and upwards, any version of Linux;Windows 7 et versions ultérieures, macOS 10.12 et versions ultérieures, Linux toutes versions;Windows 7 e successivi, MacOS 10.12 e successivi, qualsiasi versione di Linux;Windows 7以上、macOS 10.12以上、Linux全バージョン;Windows 7 버전 이상, MacOS 10.12 버전 이상, Linux 모든 버전;Windows 7 en adelante, macOS 10.12 en adelante, cualquier versión de Linux;Windows 7 ou mais novo, macOS 10.12 ou mais novo, qualquer versão do Linux;Windows 7 lub nowszy, macOS 10.12 lub nowszy, dowolna wersja Linuksa;Windows 7 und höher, MacOS 10.12 und höher, jede Version von Linux;Windows 7 и выше, macOS 10.12 и выше, любая версия Linux;Windows 7 і вище, macOS 10.12 і вище, будь-яка версія Linux;
SITE_ABOUT_REQ_RAM;RAM;RAM;RAM;RAM;메모리;RAM;RAM;Pamięć RAM;RAM;Оперативная память;ОПЕРАТИВНА ПАМ'ЯТЬ;
SITE_ABOUT_REQ_RAM_DETAILS;2 GB;2 Go;2 GB;2 GB;2GB RAM;2 GB;2GB;2 GB;2 GB;2 ГБ;2 ГБ;
SITE_ABOUT_REQ_VIDEO;VIDEO CARD;Carte graphique;SCHEDA GRAFICA;グラフィックボード;그래픽 카드;TARJETA DE VÍDEO;PLACA DE VÍDEO;Karta graficzna;Grafikkarte;Видеокарта;ВІДЕОКАРТА;
SITE_ABOUT_REQ_VIDEO_DETAILS;OpenGL 2.1;Compatible OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;Kompatybilna z OpenGL 2.1;OpenGL 2.1;Совместимость с OpenGL 2.1;З підтримкою OpenGL 2.1;
SITE_ABOUT_REQ_LANGUAGES;Languages;Langues;Lingue;言語;언어;Idiomas;Idiomas;Języki;Sprachen;Языки;Мови;
SITE_ABOUT_REQ_LANGUAGES_DETAILS;English, Japanese, French, Spain Spanish, Latin American Spanish, Brazilian Portuguese, Italian, German, Polish, Ukrainian, Russian, Korean;Anglais, japonais, français, espagnol d’Espagne, espagnol d’Amérique latine, portugais brésilien, italien, allemand, polonais, ukrainien, russe, coréen;Inglese, giapponese, francese, spagnolo (Spagna), spagnolo (America), Portoghese brasiliano, italiano, tedesco, polacco, ucraino, russo, coreano;英語、日本語、フランス語、スペイン語（スペイン）、スペイン語（ラテンアメリカ）、ポルトガル語（ブラジル）、イタリア語、ドイツ語、ポーランド語、ウクライナ語、ロシア語、韓国語;영어, 일본어, 프랑스어, 유럽 스페인어, 라틴 아메리카 스페인어, 브라질 포르투갈어, 이탈리아어, 독일어, 폴란드어, 우크라이나어, 러시아어, 한국어;Inglés, japonés, francés, español castellano, español latino, portugués brasileño, italiano, alemán, polaco, ucranio, ruso, coreano;Inglês, japonês, francês, espanhol da Espanha, espanhol hispano-americano, português brasileiro, italiano, alemão, polonês, ucraniano, russo, coreano;Angielski, japoński, francuski, hiszpański z Hiszpanii, hiszpański z Ameryki, portugalski brazylijski, włoski, niemiecki, polski, ukraiński, rosyjski, koreański;Englisch, Japanisch, Französisch, Spanisch, Lateinamerikanisch, Brasilianisches Portugiesisch, Italienisch, Deutsch, Polnisch, Ukrainisch, Russisch, Koreanisch;Английский, японский, французский, испанский, испанский (Латинская Америка), бразильский португальский, итальянский, немецкий, польский, украинский, русский, корейский;Англійська, японська, французська, іспанська, іспанська (Латинська Америка), бразильська португальська, італьянська, німецька, польська, українська, російська, корейська;
SITE_ABOUT_MUSIC_TITLE;Music;Musique;Musica;音楽;음악;Música;Música;Muzyka;Musik;Музыка;Музика;
