key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
SITE_NAV_CREDITS;Credits;Crédits;Crediti;Credits;Credits;Créditos;Créditos;Twórcy;Credits;Авторы;Автори;
SITE_ABOUT_MUSIC_CREDITS;Be sure to check out [Owen (@McThrillington)](https://twitter.com/McThrillington) and [Copper (@copperthejackal)](https://twitter.com/copperthejackal).;Retrouvez [Owen (@McThrillington)](https://twitter.com/McThrillington) et [Copper (@copperthejackal)](https://twitter.com/copperthejackal) sur Twitter.;Dai un’occhiata ai profili di [Owen (@McThrillington)](https://twitter.com/McThrillington) e [Copper (@copperthejackal)](https://twitter.com/copperthejackal).;[Owen (@McThrillington)](https://twitter.com/McThrillington)と[Copper (@copperthejackal)](https://twitter.com/copperthejackal)のSNSもぜひチェックしてください。;[Owen (@McThrillington)](https://twitter.com/McThrillington) 과 [Copper (@copperthejackal)](https://twitter.com/copperthejackal)의 SNS도 방문해 보세요.;No olvides visitar las cuentas de Twitter de [Owen (@McThrillington)](https://twitter.com/McThrillington) y [Copper (@copperthejackal)](https://twitter.com/copperthejackal).;Dê uma olhada nos trabalhos de [Owen (@McThrillington)](https://twitter.com/McThrillington) e [Copper (@copperthejackal)](https://twitter.com/copperthejackal).;Koniecznie sprawdź profil [Owena (@McThrillington)](https://twitter.com/McThrillington) i [Coppera (@copperthejackal)](https://twitter.com/copperthejackal).;Besuche unbedingt [Owen (@McThrillington)](https://twitter.com/McThrillington) und [Copper (@copperthejackal)](https://twitter.com/copperthejackal).;Обязательно загляните к [Owenʼу (@McThrillington)](https://twitter.com/McThrillington) и [Copperʼу (@copperthejackal)](https://twitter.com/copperthejackal).;Обов'язково загляньте до [Owenʼа (@McThrillington)](https://twitter.com/McThrillington) та [Copperʼа (@copperthejackal)](https://twitter.com/copperthejackal).;
SITE_CREDITS_CREATOR;Project Creator;Créatrice du projet;Creatrice del progetto;プロジェクトクリエイター;프로젝트 생성자;Creadora del Proyecto;Criadora do Projeto;Twórczyni projektu;Projektgründerin;Автор проекта;Автор проекту;
SITE_CREDITS_DIRECTOR;Director;Directeur;Direttore;ディレクター;총괄;Director;Diretor;Reżyser;Regie;Режиссёр;Режисер;
SITE_CREDITS_PROGRAMMERS;Programmers;Programmeurs;Programmatori;プロграマー;프로그래머;Programadores;Programadores;Programiści;Programmierer;Программисты;Програмісти;
SITE_CREDITS_ARTISTS_NPC;NPC Sprite Artists;Graphisme PNJ;Artisti degli sprite degli NPC;NPCアーティスト;NPC 스프라이터;Artistas de sprite NPCs;Artistas de Sprites de NPCs;Artyści sprite’ów NPC;NPC-Sprites;Художники по неигровым персонажам;Художники спрайтів персонажів;
SITE_CREDITS_ANIM_CHARA;Character Animators;Animation des personnages;Animatori dei personagens;キャラクターアニメーター;캐릭터 애니메이터;Animadores de personajes;Animadores de Personagens;Animatorzy postaci;Charakteranimatoren;Аниматоры персонажей;Аніматори персонажів;
SITE_CREDITS_ANIM_OBJECT;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_ANIM_EFFECTS;Effects Animators;Animation des effets;Animatori degli effetti;エफेक्टアニメーター;이펙트 애니메이터;Animadores de efectos;Animadores de Efeitos;Animatorzy efektów;Effektanimation;Дизайнеры визуальных эффектов;Аніматори візуальних ефектів;
SITE_CREDITS_ARTISTS_MAP_SCREEN;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_ARTISTS_ENVIRONMENT;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_ARTISTS_BATTLE_SPRITE;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_ARTISTS_BATTLEBG;Battle Background Artists;Graphisme arrière-plans de combat;Artisti degli sfondi di battaglia;バトル背景アーティスト;전투 배경 아티스트;Artistas de fondos de batalla;Artistas de Fundo de Batalha;Artyści tła bitewnego;Kampfhintergründe;Дизайнеры фонов битв;Дизайнери фонів битв;
SITE_CREDITS_ARTISTS_ITEM;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_DESIGN_MAPS;Map Designers;Conception des terrains;Designer della mappa;マップデザイナー;맵 디자이너;Diseñadores del mapa;Designers de Mapa;Projektanci map;Level-Designer;Левел-дизайнеры;Левел-дизайнери;
SITE_CREDITS_ENEMY_BALANCING;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_ARTISTS_ILLUSTRATION;Illustration Artists;Illustrateurs;Illustratori;イラストレーター;일러스트레이터;Ilustradores;Ilustradores;Artyści ilustracji;Illustrationen;Иллюстраторы;Ілюстратори;
SITE_CREDITS_ARTISTS_CONCEPT;Concept Artists;Graphistes conceptuels;Concept artist;コンセプト・アーティスト;콘셉트 아티스트;Artistas conceptuales;Artistas Conceituais;Artyści koncepcyjni;Konzeptkünstler;Концепт-художники;Концепт-художники;
SITE_CREDITS_ARTISTS_PROMO;Promotional Artists;Graphistes publicitaires;Artisti promozionali;プロモーション・アーティスト;프로모션 아티스트;Artistas promocionales;Artistas Promocionais;Artyści promocyjni;Werbe-Illustrationen;Художники промо-материалов;Художники промо-матеріалів;
SITE_CREDITS_DESIGN_LOGO;Mother Encore Logo Designer;Création du logo de MOTHER: Encore;Designer del logo di MOTHER: Encore;MOTHER：ENCOREロゴデザイナー;Mother: Encore 로고 디자인;Diseñadora del logo de Mother Encore;Designer da Logo de Mother Encore;Projektantka logo Mother Encore;Mother Encore Logo-Designer;Дизайнер логотипа Mother: Encore;Дизайнер логотипу MOTHER: Encore;
SITE_CREDITS_WRITERS;Writers;Scénario et textes;Sceneggiatori;ライター;작가;Escritores;Escritores;Twórcy tekstów;Autoren;Сценаристы;Сценаристи;
SITE_CREDITS_MUSICIANS;Musicians;Musiciens;Compositori;ミュージシャン;음악가;Músicos;Músicos;Muzycy;Musik;Композиторы;Композитори;
