Role,Translation Key,ALL ACTS,ACT 1,ACT 2
Project Creator,SITE_CREDITS_CREATOR,Sam the Salmon,Sam the Salmon,
Director,SITE_CREDITS_DIRECTOR,Pkdotts,Pkdotts,Pkdotts
Programmer,SITE_CREDITS_PROGRAMMERS,"Artem “Inqurity” N.; benichi; Danionel; Pkdotts; Tony ""TheQuickSlash"" Petrie; turnip; HepHep; JumpmanFR; Pedro Braga; roka; ZetCipher",benichi; Danionel; Pkdotts; HepHep; JumpmanFR; Pedro Braga; roka; ZetCipher,"Artem “Inqurity” N.; Danionel; Pkdotts; Tony ""TheQuickSlash"" Petrie; turnip; JumpmanFR"
NPC Sprite Artist,SITE_CREDITS_ARTISTS_NPC,Anderp40; benichi; Destroyer120; Megadrivesonic; Pkdotts; Shachi Welt; Tessa; Bassya; Bndi; Clipbrick; FlintMother3; Nicolás Romero; Retro64; Sam the Salmon; Yahav,benichi; Megadrivesonic; Pkdotts; Bassya; Clipbrick; FlintMother3; Nicolás Romero; Retro64; Sam the Salmon; Yahav,Anderp40; Destroyer120; Megadrivesonic; Pkdotts; Shachi Welt; Tessa; Bndi; Sam the Salmon
Character Animator,SITE_CREDITS_ANIM_CHARA,benichi; CartMart; Cosmocha; GeraFierro; MP64; Pkdotts; pkgalaxia; VentesTheFloof; Castor28; Clipbrick; Corblan; deebits; dianesaur; Mallow; Maxbound; Sam the Salmon; SuperSquidoodle; Remie_REM_Sleep,benichi; CartMart; MP64; Pkdotts; Castor28; Clipbrick; Corblan; dianesaur; Mallow; Maxbound; Sam the Salmon; Remie_REM_Sleep,CartMart; Cosmocha; GeraFierro; MP64; Pkdotts; pkgalaxia; VentesTheFloof; Castor28; deebits; SuperSquidoodle
Object Animator,SITE_CREDITS_ANIM_OBJECT,Cosmocha; MP64; Pkdotts; Vini; Clipbrick; SuperSquidoodle,Pkdotts; Clipbrick; SuperSquidoodle,Cosmocha; MP64; Pkdotts; Vini
Effects Animator,SITE_CREDITS_ANIM_EFFECTS,Aqief; GeraFierro; Pkdotts; VentesTheFloof; Vini; AveryPizza; Clipbrick; Ren Amamiya; SuperSquidoodle,Pkdotts; AveryPizza; Clipbrick; Ren Amamiya; SuperSquidoodle,Aqief; GeraFierro; Pkdotts; VentesTheFloof; Vini; Ren Amamiya; SuperSquidoodle
Map Screen Artist,SITE_CREDITS_ARTISTS_MAP_SCREEN,benichi; MP64; Pkdotts; Tessa; Vini,benichi; MP64,Pkdotts; Tessa; Vini
Environment Artist,SITE_CREDITS_ARTISTS_ENVIRONMENT,benichi; Cosmocha; Megadrivesonic; MP64; Pkdotts; pkgalaxia; Tessa; Vini; Bndi; Castor28; Clipbrick; Kale Love; NAN4; Qirlfriend; Ror; Sam the Salmon; SteveCG; SuperSquidoodle,benichi; Pkdotts; Castor28; Clipbrick; Sam the Salmon,benichi; Cosmocha; Megadrivesonic; MP64; Pkdotts; pkgalaxia; Tessa; Vini; Bndi; Castor28; Clipbrick; Kale Love; NAN4; Qirlfriend; Ror; Sam the Salmon; SteveCG; SuperSquidoodle
Battle Sprite Artist,SITE_CREDITS_ARTISTS_BATTLE_SPRITE,benichi; GeraFierro; Megadrivesonic; Pkdotts; Shachi Welt; Sam the Salmon,benichi; Pkdotts; Sam the Salmon,GeraFierro; Megadrivesonic; Pkdotts; Shachi Welt; Sam the Salmon
Battle Background Artist,SITE_CREDITS_ARTISTS_BATTLEBG,benichi; Pkdotts; pkgalaxia; Clipbrick; Sam the Salmon,benichi; Pkdotts; Clipbrick; Sam the Salmon,benichi; Pkdotts; pkgalaxia
Item Sprite Artist,SITE_CREDITS_ARTISTS_ITEM,Anderp40; Destroyer120; GeraFierro; Megadrivesonic; Pkdotts; Shachi Welt; Tessa; VentesTheFloof; Vini; Bassya; Clipbrick; luff; max3996,Pkdotts; Clipbrick,Anderp40; Destroyer120; GeraFierro; Megadrivesonic; Pkdotts; Shachi Welt; Tessa; VentesTheFloof; Vini; Bassya; luff; max3996
Illustration Artist,SITE_CREDITS_ARTISTS_ILLUSTRATION,benichi; Pkdotts; Birb; Clipbrick; dianesaur; Sam the Salmon,benichi; Pkdotts; Birb; Clipbrick; dianesaur; Sam the Salmon,
