key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
SITE_ABOUT_DL_TITLE;Download? But the game’s not done.;Télécharger ? Mais le jeu n’est pas terminé…;Download? Ma il gioco non è pronto.;ゲームは完成されていますか？;아직 게임이 완성되지 않았습니다.;¿Descarga? Pero si el juego no está terminado.;Download? Mas o jogo ainda não está pronto.;Można pobrać? Ale gra nie jest skończona.;Download? Aber das Spiel ist noch nicht fertig.;А что значит «скачать»? Игра же ещё не готова.;А що означає «завантажити»? Гра ще ж не готова.
SITE_ABOUT_DL_INTRO_1;We plan on releasing the game in multiple Acts! Currently we have 2 Acts done, with 8 Acts planned in total. Each Act will be a simple content update that adds new areas onto the game so you can enjoy the entire game as a seamless experience. You can find downloads for the game on Itch.io.;On prévoit de sortir le jeu en plusieurs Actes ! Pour le moment, 2 Actes sur 8 sont terminés. Chaque Acte sera une mise à jour de contenu qui ajoute de nouveaux endroits au jeu pour que vous puissiez profiter de l'expérience du jeu sans interruption. Vous pouvez télécharger le jeu sur Itch.io.;Pianifichiamo di rilasciare il gioco in più Atti! Al momento abbiamo completato i primi 2 su un totale di 8. Ogni Atto sarà un aggiornamento che aggiungerà nuove aree al gioco, in modo tale che possiate godervelo man mano. Potete scaricare il gioco su itch.io.;はい、ゲーム本編はまだ完成していませんが、MOTHER：ENCOREチームはファンたちにACT 1を提供しました！過去数年間、このプロジェクトを支えてくださった皆様には感謝してもしきれません。;게임을 여러 장으로 나눠 출시할 계획입니다! 현재 2장까지 완료되었으며, 총 8개의 장으로 계획되어 있습니다. 각 장마다 새로운 지역을 추가하여 최종적으로 하나의 완성된 여정을 즐길 수 있습니다. 게임은 Itch.io를 통해 다운로드할 수 있습니다.;¡Planeamos lanzar el juego en múltiples actos! Ahora mismo contamos con 2 actos, con 8 actos planeados en total. Cada acto será una actualización de contenido que añadirá nuevas áreas al juego para que puedas disfrutar el juego de forma fluida. Podrás encontrar las descargas en Itch.io.;Planejamos lançar o jogo em vários Atos! No momento temos 2 Atos feitos, com 8 Atos planejados no total. Cada Ato será uma simples atualização de conteúdo que adicionará áreas novas no jogo para que possa aproveitá-lo de forma fluída. Você pode baixar o jogo na Itch.io.;Planujemy wydawać grę w postaci kilku aktów! Obecnie mamy gotowe 2 akty, a w sumie planujemy 8. Każdy akt będzie prostą aktualizacją zawartości, która wzbogaci grę o nowe tereny, dzięki czemu będziecie mogli cieszyć się całą grą jako spójną całością. Możecie ją pobrać na stronie Itch.io.;Wir planen, das Spiel in mehreren Akten zu veröffentlichen! Derzeit sind zwei Akte fertiggestellt, insgesamt sind acht Akte geplant. Jeder Akt wird ein einfaches Inhaltsupdate sein, das dem Spiel neue Bereiche hinzufügt, sodass ihr das gesamte Spiel als nahtloses Erlebnis genießen könnt. Die Downloads für das Spiel findet ihr auf Itch.io.;Мы планируем выпускать игру по актам! Сейчас готово два акта из запланированных восьми. В каждый новый акт, помимо нового контента, будут добавляться и новые области, чтобы вы могли сразу насладиться цельным игровым процессом. Вы можете скачать игру на Itch.io.;Ми плануємо випускати гру у актах! Наразі ми закінчили 2 акти, яких всього заплановано бути 8. Кожен акт буде звичайним оновленням, що додасть нові місця, щоб ви могли насолодитися безшовним ігровим процесом. Можете завантажити гру на Itch.io.
SITE_ABOUT_DL_INTRO_2;For Windows, for Mac, for Linux and beyond, please enjoy Mother Encore!;Passez un excellent moment sur MOTHER: Encore pour Windows, macOS et Linux !;Per Windows, Mac, Linux e oltre. Godetevi MOTHER: Encore!;Windows、Mac、LinuxなどでMOTHER：ENCOREをお楽しみください！;Windows, Max, Linux로 MOTHER: Encore를 즐겨주세요!;Para Windows, para Mac, para Linux y más allá, ¡disfruta de Mother Encore!;Para Windows, Mac, Linux e além, divirta-se com MOTHER Encore!;Baw się dobrze z MOTHER: Encore na systemie Windows, Mac i Linux!;Für Windows, für Mac, für Linux und darüber hinaus, bitte genieße Mother Encore!;Насладитесь игрой в MOTHER: Encore на Windows, Mac и Linux!;Насолоджуйтеся MOTHER: Encore на Windows, Mac і Linux!
SITE_ABOUT_DL_INTRO_3;The Act 1 build is available via the Encore Discord or Google Drive.;L’Acte 1 du jeu est disponible au téléchargement sur le serveur Discord de MOTHER: Encore et sur Google Drive.;L'Atto 1 è disponibile attraverso il server Discord di Encore e Google Drive.;ACT 1は公式DiscordまたはGoogle Driveから入手可能です。;1막 빌드는 디스코드 또는 구글 드라이브를 통해 다운받을 수 있습니다.;El Acto 1 está disponible a través del servidor de Discord de Encore o a través de Google Drive.;O Primeiro Ato está disponível pelo servidor do Discord do Encore ou pelo Google Drive.;Akt 1 dostępny na naszym serwerze Discord lub na Dysku Google.;Akt 1 ist über den Encore-Discord oder Google Drive verfügbar.;Акт 1 доступен на Discord-сервере MOTHER: Encore и Google Диске.;Акт 1 доступний на Discord-сервері MOTHER: Encore та Google Диску.
SITE_ABOUT_DL_INTRO_4;" ";Il est jouable intégralement en français !;Completamente in italiano!;最後まで日本語でプレイ可能です！;완전한 한국어로 즐겨보세요!;¡Es completamente jugable tanto en castellano como en español latino!;Também está disponível completamente em português brasileiro!;Jest w całości dostępna po polsku!;Er ist vollständig auf Deutsch spielbar!;А ещё он полностью на русском языке!;I його повністю перекладено українською!
SITE_ABOUT_DL_ITCHIO;Download on Itch.io!;Téléchargez le jeu sur Itch.io !;Scarica su itch.io!;;Itch.io에서 다운로드하세요!;¡Descárgalo en Itch.io!;Baixe no Itch.io!;Pobierz z Itch.io!;Download auf Itch.io!;Скачайте на Itch.io!;Завантажити на Itch.io!
SITE_ABOUT_REQ_OS;OS;Système d’exploitation;SISTEMA OPERATIVO;対応OS;운영체제;SO;SO;System operacyjny;System;Операционная система;ОПЕРАЦІЙНА СИСТЕМА;
SITE_ABOUT_REQ_OS_DETAILS;Windows 7 and upwards, macOS 10.12 and upwards, any version of Linux;Windows 7 et versions ultérieures, macOS 10.12 et versions ultérieures, Linux toutes versions;Windows 7 e successivi, MacOS 10.12 e successivi, qualsiasi versione di Linux;Windows 7以上、macOS 10.12以上、Linux全バージョン;Windows 7 버전 이상, MacOS 10.12 버전 이상, Linux 모든 버전;Windows 7 en adelante, macOS 10.12 en adelante, cualquier versión de Linux;Windows 7 ou mais novo, macOS 10.12 ou mais novo, qualquer versão do Linux;Windows 7 lub nowszy, macOS 10.12 lub nowszy, dowolna wersja Linuksa;Windows 7 und höher, MacOS 10.12 und höher, jede Version von Linux;Windows 7 и выше, macOS 10.12 и выше, любая версия Linux;Windows 7 і вище, macOS 10.12 і вище, будь-яка версія Linux;
SITE_ABOUT_REQ_RAM;RAM;RAM;RAM;RAM;메모리;RAM;RAM;Pamięć RAM;RAM;Оперативная память;ОПЕРАТИВНА ПАМ'ЯТЬ;
SITE_ABOUT_REQ_RAM_DETAILS;2 GB;2 Go;2 GB;2 GB;2GB RAM;2 GB;2GB;2 GB;2 GB;2 ГБ;2 ГБ;
SITE_ABOUT_REQ_VIDEO;VIDEO CARD;Carte graphique;SCHEDA GRAFICA;グラフィックボード;그래픽 카드;TARJETA DE VÍDEO;PLACA DE VÍDEO;Karta graficzna;Grafikkarte;Видеокарта;ВІДЕОКАРТА;
SITE_ABOUT_REQ_VIDEO_DETAILS;OpenGL 2.1;Compatible OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;OpenGL 2.1;Kompatybilna z OpenGL 2.1;OpenGL 2.1;Совместимость с OpenGL 2.1;З підтримкою OpenGL 2.1;
SITE_ABOUT_REQ_LANGUAGES;Languages;Langues;Lingue;言語;언어;Idiomas;Idiomas;Języki;Sprachen;Языки;Мови;
SITE_ABOUT_REQ_LANGUAGES_DETAILS;English, Japanese, French, Spain Spanish, Latin American Spanish, Brazilian Portuguese, Italian, German, Polish, Ukrainian, Russian, Korean;Anglais, japonais, français, espagnol d’Espagne, espagnol d’Amérique latine, portugais brésilien, italien, allemand, polonais, ukrainien, russe, coréen;Inglese, giapponese, francese, spagnolo (Spagna), spagnolo (America), Portoghese brasiliano, italiano, tedesco, polacco, ucraino, russo, coreano;英語、日本語、フランス語、スペイン語（スペイン）、スペイン語（ラテンアメリカ）、ポルトガル語（ブラジル）、イタリア語、ドイツ語、ポーランド語、ウクライナ語、ロシア語、韓国語;영어, 일본어, 프랑스어, 유럽 스페인어, 라틴 아메리카 스페인어, 브라질 포르투갈어, 이탈리아어, 독일어, 폴란드어, 우크라이나어, 러시아어, 한국어;Inglés, japonés, francés, español castellano, español latino, portugués brasileño, italiano, alemán, polaco, ucranio, ruso, coreano;Inglês, japonês, francês, espanhol da Espanha, espanhol hispano-americano, português brasileiro, italiano, alemão, polonês, ukraniano, russo, coreano;Angielski, japoński, francuski, hiszpański z Hiszpanii, hiszpański z Ameryki, portugalski brazylijski, włoski, niemiecki, polski, ukraiński, rosyjski, koreański;Englisch, Japanisch, Französisch, Spanisch, Lateinamerikanisch, Brasilianisches Portugiesisch, Italienisch, Deutsch, Polnisch, Ukrainisch, Russisch, Koreanisch;Английский, японский, французский, испанский, испанский (Латинская Америка), бразильский португальский, итальянский, немецкий, польский, украинский, русский, корейский;Англійська, японська, французська, іспанська, іспанська (Латинська Америка), бразильська португальська, італьянська, німецька, польська, українська, російська, корейська;
