key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
"SITE_THIS_LANGUAGE";"English";"Français";"Italiano";"にほんご";"한국어";"Español";"Português brasileiro";"Polski";"Deutsch";"Русский";"Українська";""
"SITE_NAV_HOME";"Home";"Accueil";"Home";"Home";"Home";"Inicio";"Início";"Strona główna";"Startseite";"Главная";"Головна";""
"SITE_NAV_ABOUT";"About";"À propos";"Info";"About";"About";"Acerca de";"Sobre";"Informacje";"Über";"О нас";"Про нас";""
"SITE_NAV_FAQ";"FAQ";"FAQ";"FAQ";"FAQ";"FAQ";"Preguntas frecuentes";"Perguntas Frequentes";"FAQ";"FAQ";"FAQ";"FAQ";""
"SITE_NAV_DOWNLOAD";"Download";"Télécharger";"Download";"Download";"Download";"Descarga";"Download";"Pobierz";"Download";"Скачать";"Завантажити";""
"SITE_NAV_CREDITS";"Credits";"Crédits";"Crediti";"Credits";"Credits";"Créditos";"Créditos";"Twórcy";"Credits";"Авторы";"Автори";""
Key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
"SITE_FOOTER_SOCIAL";"Social Media";"Réseaux sociaux";"Social network";"SNS";"SNS";"Redes sociales";"Redes Sociais";"Media społecznościowe";"Social Media";"Соцсети";"Соцмережі";""
"SITE_FOOTER_DISCLAIMER";"Disclaimer: MOTHER: Encore is a fan made project, and is in no way affiliated, associated, authorized, endorsed by, or in any way officially connected with Nintendo, Shigesato Itoi, HAL Laboratory, Inc., or any of its subsidiaries or its affiliates.";"Avertissement : MOTHER: Encore est un projet réalisé par des fans. Il n’est nullement associé, soutenu, autorisé ou relié d’une quelconque façon à Nintendo, Shigesato Itoi, HAL Laboratory, Inc., ainsi que leurs filiales et partenaires.";"Attenzione: MOTHER: Encore è un progetto amatoriale. Non è in alcun modo affiliato, associato, autorizzato, approvato né ufficialmente collegato a Nintendo, Shigesato Itoi, HAL Laboratory, Inc. e a nessuna loro società sussidiaria o associata.";"注意：MOTHER：ENCOREは二次創作のプロジェクトであり、任天堂、糸井重里、HAL研究所、また その子会社や関連会社とは一切関係ありません。";"주의 사항: MOTHER: Encore는 팬 프로젝트이며 닌텐도, 이토이 시게사토, HAL 연구소 또는 그 자회사 또는 그 계열사와 공식적인 제휴, 연관, 지지, 승인 등을 포함한 그 어떠한 방식으로도 연결되지 않았습니다.";"Aviso legal: MOTHER: Encore es un proyecto hecho por fans, y no está de ninguna manera afiliado, asociado, autorizado, respaldado o de alguna manera conectado oficialmente con Nintendo, Shigesato Itoi, HAL Laboratory, Inc. o cualquiera de sus subsidiarias o filiales.";"Aviso legal: MOTHER: Encore é um projeto feito por fãs e não é de nenhuma forma afiliado, associado, autorizado, patrocinado ou conectado oficialmente à Nintendo, Shigesato Itoi, HAL Laboratory, Inc. ou a alguma de suas subsidiárias ou afiliadas.";"Oświadczenie: MOTHER: Encore jest projektem stworzonym przez fanów i nie jest w żaden sposób powiązany, zrzeszony, autoryzowany, wspierany ani w żaden sposób oficjalnie powiązany z Nintendo, Shigesato Itoi, HAL Laboratory, Inc. ani żadną z ich spółek zależnych lub stowarzyszonych.";"Hinweis: MOTHER: Encore ist ein Fan-Projekt und in keinster Weise mit Nintendo, Shigesato Itoi, HAL Laboratory, Inc. oder einer ihrer Tochtergesellschaften bzw. Partnerunternehmen zusammen, assoziiert, autorisiert, gebilligt oder in irgendeiner Art, offiziell mit ihnen verbunden.";"Внимание: MOTHER: Encore — это фанатский проект, который не лицензирован, не ассоциирован, не авторизован и не одобрен Nintendo, Сигэсато Итои, HAL Laboratory, Inc. или какими-либо другими дочерними компаниями и аффилированными лицами и никаким образом с ними не связан.";"Увага: MOTHER: Encore — фанатський проєкт, який ніяк не пов'язаний, авторизований, схвалений, чи будь-яким чином підтриманий Nintendo, Сигесато Ітоєм, HAL Laboratory, Inc., або кимсь з їх дочірніх компаній чи афійілованих осіб.";""
