key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
SITE_HOME_HEADLINE;Get ready to see a whole new spin on the beloved classic!;Préparez-vous à redécouvrir un grand classique sous un nouveau jour !;Preparati a rivivere un capolavoro sotto una nuova luce!;あの名作がよみがえる！;사랑받던 명작이 되살아난다!;¡Prepárate para redescubrir el tan amado clásico!;Prepare-se para uma incrível releitura de um amado clássico!;Przygotuj się na zupełnie nowe spojrzenie na uwielbiany klasyk!;Freue dich auf eine völlig neue Interpretation des beliebten Klassikers!;"Приготовьтесь по-новому взглянуть на любимую классику! ";Приготуйтеся побачити улюблену классику зовсім по-новому!;
SITE_HOME_INTRO_1;This is MOTHER: Encore! A Reimagining of the original NES game. Featuring tons of fixes, additions and twists on the classic game!;Voici MOTHER: Encore ! Une réinterprétation du jeu NES original. Avec son lot de correctifs, de nouveautés et de rebondissements inattendus !;Ecco MOTHER: Encore! Una rivisitazione dell’originale gioco per NES. Presenta un mucchio di accorgimenti, aggiunte e cambiamenti al classico gioco che avete conosciuto!;MOTHER：ENCOREは あの名作、ファミリーコンピュータ：MOTHERに 新たなアレンジを加え、より鮮やかにリメイクしました！ 勇気と友情、そして愛。 あの冒険を再び！;MOTHER: Encore는 패미컴 시절의 명작을 재해석한 작품으로, 수많은 요소로 가득 찬 세계를 만들어 냈습니다.;¡Esto es MOTHER: Encore! Una reimaginación del juego original de NES. ¡Con un montón de arreglos, añadidos y giros respecto al clásico!;Isto é MOTHER: Encore! Uma reimaginação do jogo clássico para NES adicionando vários ajustes, novidades e reviravoltas!;Oto MOTHER: Encore! Odświeżona wersja oryginalnej gry na NES-a. Zawiera mnóstwo ulepszeń, dodatków i zmian w porównaniu do klasycznej gry!;Dies ist MOTHER: Encore! Eine Neuinterpretation des ursprünglichen NES-Spiels. Mit gewaltigen Korrekturen, Ergänzungen und Twists des Klassikers!;Это — MOTHER: Encore! Переосмысление оригинальной игры для NES со множеством исправлений, дополнений и улучшений!;Це — MOTHER: Encore! Переосмислення оригінальної гри з NES з купою виправлень, доповнень та інших змін класичної гри!;
SITE_HOME_INTRO_2;Join Ninten, Ana, Lloyd, Teddy and some crazy redhead on a journey across America! On a quest to collect the Eight Melodies for Queen Mary, and to stop the heinous Giegue from imprisoning humanity! Get ready to explore new dungeons, play with new game mechanics, listen to Ninten’s Walkman, talk to new people and battle new enemies in this celebration of the game that started it all.;Rejoignez Ninten, Ana, Lloyd, Teddy et une petite fille rousse déjantée dans un voyage à travers l’Amérique ! Suivez-les dans leur quête afin de collecter les Huit Mélodies pour la reine Mary et empêcher le terrible Giygas d’asservir l’humanité. Préparez-vous à explorer de nouveaux donjons, à découvrir de nouvelles mécaniques de jeu, à écouter le Walkman de Ninten, à parler à de nouveaux personnages et à affronter de nouveaux ennemis dans cet hommage au jeu par lequel tout a commencé.;Unisciti a Ninten, Ana, Lloyd, Teddy e una folle ragazzina dai capelli rossi in un viaggio attraverso l’America! Recupera le Otto Melodie della Regina Mary e impedisci al crudele Giegue di imprigionare l’umanità! Preparati a esplorare nuovi dungeon, sperimentare nuove meccaniche di gioco, ascoltare il Walkman di Ninten, parlare con nuova gente e affrontare nuovi nemici in questa celebrazione del gioco che ha dato origine a tutto.;ニンテン、アナ、ロイド、テディ、そしてゴーイングマイウェイな赤毛の女の子と共に、アメリカを横断する旅に出発だ！ クイーンマリーのために8つのメロディーを集めて、地球侵略を企むギーグから世界を救う大冒険へ！ 新しいダンジョン、新しい敵、新ギミックに、新たなBGM、前にはいなかった人々との会話。 さまざまなニューコンテンツが きみを待っているよ！;닌텐, 아나, 로이드, 테디 그리고 미친 빨간 머리와 함께 미국을 횡단하는 여행에 함께 하세요! 메리 여왕의 명을 받아 여덟 개의 멜로디를 모으고, 사악한 기그로부터 인류를 지켜주세요! 새로운 던전을 탐험하고, 새로운 게임 메카닉을 가지고 놀고, 새로운 음악을 들으며, 새로운 인물들과 대화하고, 새로운 적들과 싸울 준비를 하세요.;¡Únete a Ninten, Ana, Lloyd, Teddy y a una loca pelirroja en un viaje a través de América! En búsqueda de las Ocho Melodías para la Reina Mary, ¡y para impedir que el cruel Giegue aprisione a la humanidad! Prepárate para explorar nuevas mazmorras, jugar con las nuevas mecánicas, escuchar el Walkman de Ninten, hablar con nuevas personas y luchar contra nuevos enemigos en este homenaje al juego que lo empezó todo.;Junte-se a Ninten, Ana, Lloyd, Teddy e uma ruiva doidinha numa jornada através da América para reunir todas as Oito Melodias para a Rainha Mary e impedir o malvado Giegue de aprisionar toda a humanidade! Prepare-se para explorar novas masmorras, usar novas mecânicas, escutar o walkman do Ninten, conhecer novas pessoas e batalhar contra novos inimigos nesta celebração do jogo que deu origem a tudo!;Dołącz do Nintena, Any, Lloyda, Teddy’ego i pewną szaloną rudowłosą w podróży przez Amerykę! W misji zebrania Ośmiu Melodii dla Królowej Marii i powstrzymania nikczemnego Giegue’a przed zniewoleniem ludzkości! Przygotuj się na odkrywanie nowych lokacji, zabawę z nowymi mechanikami gry, słuchanie walkmana Nintena, rozmowy z nowymi ludźmi i walkę z nowymi wrogami w tej celebracji gry, od której wszystko się zaczęło.;"Begleite Ninten, Ana, Lloyd, Teddy und eine verrückte Rothaarige auf eine Reise quer durch Amerika! Auf der Suche nach acht Melodien für Königin Mary, und um den abscheulichen Giygas daran zu hindern, die Menschheit in Gefangenschaft zu nehmen! Mach dich bereit, neue Dungeons zu erforschen, mit neuen Mechaniken zu spielen, Nintens Walkman zu hören, mit neuen Leuten zu sprechen und neue Feinde zu bekämpfen; in dieser Zelebrierung des Spiels, mit dem alles begann.";Присоединяйтесь к Нинтену, Ане, Ллойду, Тедди и какой-то рыжей сумасшедшей девочке, чтобы обойти всю Америку! Отправляйтесь на поиски восьми мелодий для королевы Мэри и не дайте ужасному Гийгасу захватить человечество! Приготовьтесь исследовать новые подземелья, знакомиться с новыми механиками, слушать плеер Нинтена, общаться с новыми людьми и сражаться с новыми противниками в игре, отдающей честь классике, с которой всё началось.;Приєднайтеся до Нінтена, Ани, Ллойда, Тедді та якоїсь божевільної рудої дівчинки у подорожі через Америку! З метою зібрати Вісім Мелодій для Королеви Мері і щоб запобігти поневолення людства жахливим Гійгасом! Приготуйтеся відкрити нові локації, випробувати нові ігрові механіки, послухати Walkman Нінтена, поговорити з новими людьми і змагатися з новими ворогами у цьому святкуванні гри, з якої усе почалось.;
SITE_HOME_CAST;Cast;Les personnages;Personaggi;Cast;등장인물;Reparto;Elenco;Obsada;Charaktere;В ролях;В ролях;
SITE_HOME_NINTEN_TITLE;Ninten;Ninten;Ninten;ニンテン;닌텐;Ninten;Ninten;Ninten;Ninten;Нинтен;Нінтен;
SITE_HOME_NINTEN_1;This is you! A boy from Podunk with a hand for baseball and a burning drive to uncover the mystery about his missing great-grandparents. Ninten’s favourite thing after a busy day is to go home, tuck into some prime ribs, and play Penguin Bonanza on his NES.;C’est vous ! Un jeune garçon de Podunk avec un certain talent pour le baseball et un désir brûlant, celui d’élucider le mystère de la disparition de ses arrière-grands-parents. Après une journée bien remplie, Ninten aime tout particulièrement retrouver sa maison, savourer une délicieuse côte de bœuf et jouer à Penguin Bonanza sur sa NES.;Sei tu! Un ragazzo di Podunk con la passione per il baseball un ardente desiderio di svelare il mistero della scomparsa dei suoi bisnonni. Dopo una giornata impegnativa, Ninten ama tornare a casa, divorare un po’ costolette e giocare a Penguin Bonanza sul suo NES.;今作の主人公だ！ 野球好きな マザーズデイ出身の少年だよ！ 昔の事件で行方不明になった 曽祖父母の謎を解き明かそうと、色々と情報を調べている。 ニンテンの一日の楽しみは、野球でくたくたになったあと 家に帰って 夕食にプライムリブを食べて、そのあとにファミコンをプレイすることなんだ。;당신입니다! 야구를 좋아하는 마더즈데이의 평범한 소년으로, 실종된 증조부모님에 대한 미스터리를 알아내기 위해 모험을 하고 있습니다. 바쁜 여행 후에는 집으로 돌아가 소갈비를 뜯으며, NES로 펭귄 라이더를 하는 것이 소소한 낙입니다.;¡Eres tú! Un chico de Podunk con buena mano para el béisbol y un ferviente deseo por resolver el misterio de sus bisabuelos desaparecidos. Lo que más le gusta a Ninten tras un largo día es comer costillas y jugar a Penguin Bonanza en su NES.;É você! Um menino da cidade de Boa Mãe, jogador de beisebol, com um desejo ardente de descobrir o mistério de seus bisavós desaparecidos. A coisa que Ninten mais gosta de fazer depois de um longo dia é chegar em casa, comer uma bela costeleta e jogar Penguin Bonanza no seu Nintendinho.;To ty! Chłopak z Podunk z zacięciem do baseballu i zapałem do odkrycia tajemnicy zaginionych pradziadków. Po ciężkim dniu Ninten najchętniej wraca do domu, zajada się żeberkami i gra w Penguin Bonanza na swoim NES-ie.;Das bist du! Ein Junge aus Podunk mit einem Händchen für Baseball und dem brennenden Wunsch, das Geheimnis um seine verschwundenen Urgroßeltern zu lüften. Nintens Lieblingsbeschäftigung nach einem anstrengenden Tag ist es, nachhause zu gehen, erstklassigen Rostbraten zu essen und Penguin Bonanza auf seinem NES zu spielen.;Это ты! Мальчик из Поданка, увлекающийся бейсболом и жаждущий раскрыть тайну пропажи прабабушки и прадедушки. После тяжёлого дня Нинтен любит прийти домой, поесть рёбрышек и сыграть в Penguin Bonanza на своей NES.;Це ви! Хлопчик з Поданку з захопленням до бейсболу і запальним поривом розкрити таємницю його загублених прабабусі і прадідуся. Після важкого дня, улюблена справа Нінтена — прийти додому, перекусити смаженими реберцями і зіграти у Penguin Bonanza на своїй NES.;
SITE_HOME_NINTEN_2;All hope of uncovering what happened to his great-grandparents were lost *until he found a certain diary...*;Tout espoir de découvrir ce qui était advenu de ses arrière-grands-parents semblait perdu, *jusqu’à ce qu’il trouve un certain journal…*;Tutte le speranze di scoprire cosa fosse successo ai suoi bisnonni erano sfumate, *finché non ha trovato un certo diario...*;とつぜん 家を怪奇現象が襲ったある日 古ぼけた日記を地下室で見つけたんだ！ その時、知らない人だけど なぜか懐かしい声が聞こえてきた・・・。 その瞬間、僕の中に秘められていた力が湧いてくるのを感じたんだ。 きっとこれから 想像もできない大冒険が始まるんだろうな！;그의 증조부모에게 무슨 일이 일어났는지는 영원히 알 수 없었습니다. *그가 어떤 일기를 발견하기 전까지는...*;Toda esperanza de descubrir lo ocurrido con sus bisabuelos estaba perdida *hasta que encontró cierto diario...*;Todas as esperanças de descobrir o que aconteceu com os seus bisavós se foram *até que ele encontrou um certo diário...*;Cała nadzieja na odkrycie, co stało się z jego pradziadkami, przepadła, *dopóki nie znalazł pewnego pamiętnika...*;Jede Hoffnung herauszufinden was mit seinen Urgroßeltern geschah, war verloren *bis er ein bestimmtes Tagebuch fand ...*;Он уже думал, что никогда не узнает, что произошло с прабабушкой и прадедушкой, *пока не обнаружил некий дневник*...;Він був впевнений, що ніколи не дізнається про долю своїх прабабусі та прадідуся, *доки не знайшов загадковий щоденник...*;
SITE_HOME_LLOYD_TITLE;Lloyd;Lloyd;Lloyd;ロイド;로이드;Lloyd;Lloyd;Lloyd;Lloyd;Ллойд;Ллойд;
SITE_HOME_LLOYD_1;On the surface he seems to be a cowardly nerd, but Lloyd isn’t ready to give up on adventure! Thanks to an interest in machinery and electronics, Lloyd is more than capable of fighting alongside his friends in battle with his deadly cool weapons in tow.;À première vue, il ne semble être qu’un geek un peu poltron, mais Lloyd n’est pas du genre à se dégonfler quand il s’agit de partir à l’aventure ! Son intérêt pour la mécanique et l’électronique le rend capable de se battre aux côtés de ses amis, armé de son arsenal de gadgets aussi épatants que redoutables.;A prima vista può sembrare un secchione codardo, ma Lloyd non intende rinunciare all’avventura! Grazie alla passione per i macchinari e l’elettronica, Lloyd è più che capace di combattere al fianco dei suoi amici sfoggiando le sue micidiali armi.;"ぱっと見 内気で臆病な少年のロイド。 でも彼は 内に秘める冒険心がある心強い友達なんだ！ 機械にとても強い特技をちからにして、仲間たちと一緒に 色々な工作した武器を手に ゆうかんに敵に立ち向かうぞ！  ";겉으로 보기에는 고지식한 괴짜처럼 보이지만, 이 허무맹랑한 모험을 포기할 생각은 전혀 없습니다! 기계와 전자제품에 관한 관심 덕에 그는 치명적이면서도 멋진 무기들을 가지고 전투에 임합니다.;A primera vista, parece solo un nerd cobarde, pero cuando se trata de aventuras, Lloyd no es de los que se acobardan. Gracias a su interés en la maquinaria y la electrónica, Lloyd es más que capaz de luchar en batalla junto a sus amigos acompañado de sus armas tan impresionantes como mortíferas.;À primeira vista, parece um nerd moloide, mas Lloyd nunca desiste de uma aventura! Graças a seu interesse por máquinas e eletrônicos, Lloyd é mais do que capaz de lutar lado a lado com seus amigos em batalha usando suas armas mortíferas maneiras.;Z pozoru wydaje się być tchórzliwym kujonem, ale Lloyd nie jest gotowy, by zrezygnować z przygody! Dzięki zainteresowaniu maszynami i elektroniką, Lloyd jest bardziej niż zdolny do walki u boku swoich przyjaciół w bitwie ze swoją zabójczo fajną bronią.;Oberflächlich betrachtet scheint er ein feiger Nerd zu sein, aber Lloyd ist nicht bereit das Abenteuer aufzugeben! Dank seiner Interesse an Maschinen und Elektronik ist Lloyd mehr als fähig, an der Seite seiner Freunde mit seinen tödlich coolen Waffen in die Schlacht zu ziehen.;Это только кажется, что он трусливый ботан, — на деле Ллойд вовсе не боится новых приключений! Благодаря своему интересу к технике и электронике он может сражаться бок о бок со своими друзьями, имея при себе крутое смертоносное оружие.;З першого погляду здається, що Ллойд — полохливий ботанік, але насправді він зовсім не збирається уникати нових пригод! Завдяки інтересу до техніки та електроніки він цілком здатний боротися пліч-о-пліч зі своїми друзями, маючи при собі найкрутішу зброю.;
SITE_HOME_LLOYD_2;Lloyd spent many years suffering bullying, *but all it takes is a friend to come along to unlock his potential.*;Lloyd a pendant de longues années subi les moqueries de ses camarades d’école, *mais parfois, il suffit d’un ami pour prendre conscience de son potentiel.*;Lloyd ha sofferto il bullismo per tanti anni, *ma basta un vero amico per sbloccare tutto il suo potenziale.*;僕はずっと 同級生たちからいじめられていた。 でもごみばこに隠れてた僕の目の前に とつぜん現れた ニンテンと出会ってから、すこしずつ自信を持てるようになったんだ。;그는 일평생 괴롭힘에 지쳐가고 있었습니다. *닌텐과 그 친구들이 자신의 잠재력을 알아주기 전까지는...*;Lloyd pasó muchos años sufriendo bullying, *pero solo le hace falta un amigo para liberar su potencial.*;Lloyd passou muitos anos sofrendo bullying, *mas tudo que ele precisava era de um amigo para desbloquear seu verdadeiro potencial.*;Lloyd przez wiele lat cierpiał z powodu prześladowań, *ale wystarczy, że pojawi się przyjaciel, który uwolni jego potencjał.*;Lloyd hat viele Jahre lang unter Mobbing gelitten, *aber alles was er braucht, ist ein Freund, der sein Potenzial freisetzt.*;Ллойд долгие годы подвергался травле со стороны одноклассников, *но всё, что было нужно, — это друг, который раскроет весь его потенциал*.;Ллойд довгі роки був жертвою цькування з боку однолітків, *але все, що знадобиться для розкриття його потенціалу – новий друг.*;
